År;ink from;ink tom;gr avdrag
2025;0;65200;FastInk
2025;65300;65300;65300
2025;65400;65700;65400
2025;65800;66100;65500
2025;66200;66400;65600
2025;66500;66800;65700
2025;66900;67200;65800
2025;67300;67600;65900
2025;67700;68000;66000
2025;68100;68400;66100
2025;68500;68800;66200
2025;68900;69200;66300
2025;69300;69600;66400
2025;69700;70000;66500
2025;70100;70300;66600
2025;70400;70700;66700
2025;70800;71100;66800
2025;71200;71500;66900
2025;71600;71900;67000
2025;72000;72300;67100
2025;72400;72700;67200
2025;72800;73100;67300
2025;73200;73500;67400
2025;73600;73800;67500
2025;73900;74200;67600
2025;74300;74600;67700
2025;74700;75000;67800
2025;75100;75400;67900
2025;75500;75800;68000
2025;75900;76200;68100
2025;76300;76600;68200
2025;76700;77000;68300
2025;77100;77300;68400
2025;77400;77700;68500
2025;77800;78100;68600
2025;78200;78500;68700
2025;78600;78900;68800
2025;79000;79300;68900
2025;79400;79700;69000
2025;79800;80100;69100
2025;80200;80500;69200
2025;80600;80800;69300
2025;80900;81200;69400
2025;81300;81600;69500
2025;81700;82000;69600
2025;82100;82400;69700
2025;82500;82800;69800
2025;82900;83200;69900
2025;83300;83600;70000
2025;83700;84000;70100
2025;84100;84300;70200
2025;84400;84700;70300
2025;84800;85100;70400
2025;85200;85500;70500
2025;85600;85900;70600
2025;86000;86300;70700
2025;86400;86700;70800
2025;86800;87100;70900
2025;87200;87500;71000
2025;87600;87800;71100
2025;87900;88200;71200
2025;88300;88600;71300
2025;88700;89000;71400
2025;89100;89400;71500
2025;89500;89800;71600
2025;89900;90200;71700
2025;90300;90600;71800
2025;90700;91000;71900
2025;91100;91400;72000
2025;91500;91700;72100
2025;91800;92100;72200
2025;92200;92500;72300
2025;92600;92900;72400
2025;93000;93300;72500
2025;93400;93700;72600
2025;93800;94100;72700
2025;94200;94500;72800
2025;94600;94900;72900
2025;95000;95200;73000
2025;95300;95600;73100
2025;95700;96000;73200
2025;96100;96400;73300
2025;96500;96800;73400
2025;96900;97200;73500
2025;97300;97600;73600
2025;97700;98000;73700
2025;98100;98400;73800
2025;98500;98700;73900
2025;98800;99100;74000
2025;99200;99500;74100
2025;99600;99900;74200
2025;100000;100300;74300
2025;100400;100700;74400
2025;100800;101100;74500
2025;101200;101500;74600
2025;101600;101900;74700
2025;102000;102200;74800
2025;102300;102600;74900
2025;102700;103000;75000
2025;103100;103400;75100
2025;103500;103800;75200
2025;103900;104200;75300
2025;104300;104600;75400
2025;104700;105000;75500
2025;105100;105400;75600
2025;105500;105700;75700
2025;105800;106100;75800
2025;106200;106500;75900
2025;106600;106900;76000
2025;107000;107300;76100
2025;107400;107700;76200
2025;107800;108100;76300
2025;108200;108500;76400
2025;108600;108900;76500
2025;109000;109200;76600
2025;109300;109600;76700
2025;109700;110000;76800
2025;110100;110400;76900
2025;110500;110800;77000
2025;110900;111200;77100
2025;111300;111600;77200
2025;111700;112000;77300
2025;112100;112400;77400
2025;112500;112800;77500
2025;112900;113100;77600
2025;113200;113500;77700
2025;113600;113900;77800
2025;114000;114300;77900
2025;114400;114700;78000
2025;114800;115100;78100
2025;115200;115500;78200
2025;115600;115600;78500
2025;115700;115900;78600
2025;116000;116200;78700
2025;116300;116400;78800
2025;116500;116700;78900
2025;116800;116900;79000
2025;117000;117200;79100
2025;117300;117400;79200
2025;117500;117700;79300
2025;117800;117900;79400
2025;118000;118200;79500
2025;118300;118400;79600
2025;118500;118700;79700
2025;118800;118900;79800
2025;119000;119200;79900
2025;119300;119400;80000
2025;119500;119700;80100
2025;119800;120000;80200
2025;120100;120200;80300
2025;120300;120500;80400
2025;120600;120700;80500
2025;120800;121000;80600
2025;121100;121200;80700
2025;121300;121500;80800
2025;121600;121700;80900
2025;121800;122000;81000
2025;122100;122200;81100
2025;122300;122500;81200
2025;122600;122700;81300
2025;122800;123000;81400
2025;123100;123200;81500
2025;123300;123500;81600
2025;123600;123800;81700
2025;123900;124000;81800
2025;124100;124300;81900
2025;124400;124500;82000
2025;124600;124800;82100
2025;124900;125000;82200
2025;125100;125300;82300
2025;125400;125500;82400
2025;125600;125800;82500
2025;125900;126000;82600
2025;126100;126300;82700
2025;126400;126500;82800
2025;126600;126800;82900
2025;126900;127000;83000
2025;127100;127300;83100
2025;127400;127600;83200
2025;127700;127800;83300
2025;127900;128100;83400
2025;128200;128300;83500
2025;128400;128600;83600
2025;128700;128800;83700
2025;128900;129100;83800
2025;129200;129300;83900
2025;129400;129600;84000
2025;129700;129800;84100
2025;129900;130100;84200
2025;130200;130300;84300
2025;130400;130600;84400
2025;130700;130800;84500
2025;130900;131100;84600
2025;131200;131300;84700
2025;131400;131600;84800
2025;131700;131900;84900
2025;132000;132100;85000
2025;132200;132400;85100
2025;132500;132600;85200
2025;132700;132900;85300
2025;133000;133100;85400
2025;133200;133400;85500
2025;133500;133600;85600
2025;133700;133900;85700
2025;134000;134100;85800
2025;134200;134400;85900
2025;134500;134600;86000
2025;134700;134900;86100
2025;135000;135100;86200
2025;135200;135400;86300
2025;135500;135700;86400
2025;135800;135900;86500
2025;136000;136200;86600
2025;136300;136400;86700
2025;136500;136700;86800
2025;136800;136900;86900
2025;137000;137200;87000
2025;137300;137400;87100
2025;137500;137700;87200
2025;137800;137900;87300
2025;138000;138200;87400
2025;138300;138400;87500
2025;138500;138700;87600
2025;138800;138900;87700
2025;139000;139200;87800
2025;139300;139500;87900
2025;139600;139700;88000
2025;139800;140000;88100
2025;140100;140200;88200
2025;140300;140500;88300
2025;140600;140700;88400
2025;140800;141000;88500
2025;141100;141200;88600
2025;141300;141500;88700
2025;141600;141700;88800
2025;141800;142000;88900
2025;142100;142200;89000
2025;142300;142500;89100
2025;142600;142700;89200
2025;142800;143000;89300
2025;143100;143300;89400
2025;143400;143500;89500
2025;143600;143800;89600
2025;143900;144000;89700
2025;144100;144300;89800
2025;144400;144500;89900
2025;144600;144800;90000
2025;144900;145000;90100
2025;145100;145300;90200
2025;145400;145500;90300
2025;145600;145800;90400
2025;145900;146000;90500
2025;146100;146300;90600
2025;146400;146500;90700
2025;146600;146800;90800
2025;146900;147000;90900
2025;147100;147300;91000
2025;147400;147600;91100
2025;147700;147800;91200
2025;147900;148100;91300
2025;148200;148300;91400
2025;148400;148600;91500
2025;148700;148800;91600
2025;148900;149100;91700
2025;149200;149300;91800
2025;149400;149600;91900
2025;149700;149800;92000
2025;149900;150100;92100
2025;150200;150300;92200
2025;150400;150600;92300
2025;150700;150800;92400
2025;150900;151100;92500
2025;151200;151400;92600
2025;151500;151600;92700
2025;151700;151900;92800
2025;152000;152100;92900
2025;152200;152400;93000
2025;152500;152600;93100
2025;152700;152900;93200
2025;153000;153100;93300
2025;153200;153400;93400
2025;153500;153600;93500
2025;153700;153900;93600
2025;154000;154100;93700
2025;154200;154400;93800
2025;154500;154600;93900
2025;154700;154900;94000
2025;155000;155200;94100
2025;155300;155400;94200
2025;155500;155700;94300
2025;155800;155900;94400
2025;156000;156200;94500
2025;156300;156400;94600
2025;156500;156700;94700
2025;156800;156900;94800
2025;157000;157200;94900
2025;157300;157400;95000
2025;157500;157700;95100
2025;157800;157900;95200
2025;158000;158200;95300
2025;158300;158400;95400
2025;158500;158700;95500
2025;158800;159000;95600
2025;159100;159200;95700
2025;159300;159500;95800
2025;159600;159700;95900
2025;159800;160000;96000
2025;160100;160200;96100
2025;160300;160500;96200
2025;160600;160700;96300
2025;160800;161000;96400
2025;161100;161200;96500
2025;161300;161500;96600
2025;161600;161700;96700
2025;161800;162000;96800
2025;162100;162200;96900
2025;162300;162500;97000
2025;162600;162700;97100
2025;162800;163000;97200
2025;163100;163300;97300
2025;163400;163500;97400
2025;163600;163800;97500
2025;163900;164000;97600
2025;164100;164300;97700
2025;164400;164500;97800
2025;164600;164800;97900
2025;164900;165000;98000
2025;165100;165300;98100
2025;165400;165500;98200
2025;165600;165800;98300
2025;165900;166000;98400
2025;166100;166300;98500
2025;166400;166500;98600
2025;166600;166800;98700
2025;166900;167100;98800
2025;167200;167300;98900
2025;167400;167600;99000
2025;167700;167800;99100
2025;167900;168100;99200
2025;168200;168300;99300
2025;168400;168600;99400
2025;168700;168800;99500
2025;168900;169100;99600
2025;169200;169300;99700
2025;169400;169600;99800
2025;169700;169800;99900
2025;169900;170100;100000
2025;170200;170300;100100
2025;170400;170600;100200
2025;170700;170900;100300
2025;171000;171100;100400
2025;171200;171400;100500
2025;171500;171600;100600
2025;171700;171900;100700
2025;172000;172100;100800
2025;172200;172400;100900
2025;172500;172600;101000
2025;172700;172900;101100
2025;173000;173100;101200
2025;173200;173400;101300
2025;173500;173600;101400
2025;173700;173900;101500
2025;174000;174100;101600
2025;174200;174400;101700
2025;174500;174700;101800
2025;174800;174900;101900
2025;175000;175200;102000
2025;175300;175400;102100
2025;175500;175700;102200
2025;175800;175900;102300
2025;176000;176200;102400
2025;176300;176400;102500
2025;176500;176700;102600
2025;176800;176900;102700
2025;177000;177200;102800
2025;177300;177400;102900
2025;177500;177700;103000
2025;177800;177900;103100
2025;178000;178200;103200
2025;178300;178400;103300
2025;178500;178700;103400
2025;178800;179000;103500
2025;179100;179200;103600
2025;179300;179500;103700
2025;179600;179700;103800
2025;179800;180000;103900
2025;180100;180200;104000
2025;180300;180500;104100
2025;180600;180700;104200
2025;180800;181000;104300
2025;181100;181200;104400
2025;181300;181500;104500
2025;181600;181700;104600
2025;181800;182000;104700
2025;182100;182200;104800
2025;182300;182500;104900
2025;182600;182800;105000
2025;182900;183000;105100
2025;183100;183300;105200
2025;183400;183500;105300
2025;183600;183800;105400
2025;183900;184000;105500
2025;184100;184300;105600
2025;184400;184500;105700
2025;184600;184800;105800
2025;184900;185000;105900
2025;185100;185300;106000
2025;185400;185500;106100
2025;185600;185800;106200
2025;185900;186000;106300
2025;186100;186300;106400
2025;186400;186600;106500
2025;186700;186800;106600
2025;186900;187100;106700
2025;187200;187300;106800
2025;187400;187600;106900
2025;187700;187800;107000
2025;187900;188100;107100
2025;188200;188300;107200
2025;188400;188600;107300
2025;188700;188800;107400
2025;188900;189100;107500
2025;189200;189300;107600
2025;189400;189600;107700
2025;189700;189800;107800
2025;189900;190100;107900
2025;190200;190400;108000
2025;190500;190600;108100
2025;190700;191100;108200
2025;191200;191600;108300
2025;191700;192100;108400
2025;192200;192600;108500
2025;192700;193100;108600
2025;193200;193500;108700
2025;193600;194000;108800
2025;194100;194500;108900
2025;194600;195000;109000
2025;195100;195500;109100
2025;195600;196000;109200
2025;196100;196500;109300
2025;196600;197000;109400
2025;197100;197500;109500
2025;197600;198000;109600
2025;198100;198400;109700
2025;198500;198900;109800
2025;199000;199400;109900
2025;199500;199900;110000
2025;200000;200400;110100
2025;200500;200900;110200
2025;201000;201400;110300
2025;201500;201900;110400
2025;202000;202400;110500
2025;202500;202900;110600
2025;203000;203300;110700
2025;203400;203800;110800
2025;203900;204300;110900
2025;204400;204800;111000
2025;204900;205300;111100
2025;205400;205800;111200
2025;205900;206300;111300
2025;206400;206800;111400
2025;206900;207300;111500
2025;207400;207800;111600
2025;207900;208200;111700
2025;208300;208700;111800
2025;208800;209200;111900
2025;209300;209700;112000
2025;209800;210200;112100
2025;210300;210700;112200
2025;210800;211200;112300
2025;211300;211700;112400
2025;211800;212200;112500
2025;212300;212700;112600
2025;212800;213100;112700
2025;213200;213600;112800
2025;213700;214100;112900
2025;214200;214600;113000
2025;214700;215100;113100
2025;215200;215600;113200
2025;215700;216100;113300
2025;216200;216600;113400
2025;216700;217100;113500
2025;217200;217600;113600
2025;217700;218100;113700
2025;218200;218500;113800
2025;218600;219000;113900
2025;219100;219500;114000
2025;219600;220000;114100
2025;220100;220500;114200
2025;220600;221000;114300
2025;221100;221500;114400
2025;221600;222000;114500
2025;222100;222500;114600
2025;222600;223000;114700
2025;223100;223400;114800
2025;223500;223900;114900
2025;224000;224400;115000
2025;224500;224900;115100
2025;225000;225400;115200
2025;225500;225900;115300
2025;226000;226400;115400
2025;226500;226900;115500
2025;227000;227400;115600
2025;227500;227900;115700
2025;228000;228300;115800
2025;228400;228800;115900
2025;228900;229300;116000
2025;229400;229800;116100
2025;229900;230300;116200
2025;230400;230800;116300
2025;230900;231300;116400
2025;231400;231800;116500
2025;231900;232300;116600
2025;232400;232800;116700
2025;232900;233200;116800
2025;233300;233700;116900
2025;233800;234200;117000
2025;234300;234700;117100
2025;234800;235200;117200
2025;235300;235700;117300
2025;235800;236200;117400
2025;236300;236700;117500
2025;236800;237200;117600
2025;237300;237700;117700
2025;237800;238100;117800
2025;238200;238600;117900
2025;238700;239100;118000
2025;239200;239600;118100
2025;239700;240100;118200
2025;240200;240600;118300
2025;240700;241100;118400
2025;241200;241600;118500
2025;241700;242100;118600
2025;242200;242600;118700
2025;242700;243100;118800
2025;243200;243500;118900
2025;243600;244000;119000
2025;244100;244500;119100
2025;244600;245000;119200
2025;245100;245500;119300
2025;245600;246000;119400
2025;246100;246500;119500
2025;246600;247000;119600
2025;247100;247500;119700
2025;247600;248000;119800
2025;248100;248400;119900
2025;248500;248900;120000
2025;249000;249400;120100
2025;249500;249900;120200
2025;250000;250400;120300
2025;250500;250900;120400
2025;251000;251400;120500
2025;251500;251900;120600
2025;252000;252400;120700
2025;252500;252900;120800
2025;253000;253300;120900
2025;253400;253800;121000
2025;253900;254300;121100
2025;254400;254800;121200
2025;254900;255300;121300
2025;255400;255800;121400
2025;255900;256300;121500
2025;256400;256800;121600
2025;256900;257300;121700
2025;257400;257800;121800
2025;257900;258200;121900
2025;258300;258700;122000
2025;258800;259200;122100
2025;259300;259700;122200
2025;259800;260200;122300
2025;260300;260700;122400
2025;260800;261200;122500
2025;261300;261700;122600
2025;261800;262200;122700
2025;262300;262700;122800
2025;262800;263100;122900
2025;263200;263600;123000
2025;263700;264100;123100
2025;264200;264600;123200
2025;264700;265100;123300
2025;265200;265600;123400
2025;265700;266100;123500
2025;266200;266600;123600
2025;266700;267100;123700
2025;267200;267600;123800
2025;267700;268100;123900
2025;268200;268500;124000
2025;268600;269000;124100
2025;269100;269500;124200
2025;269600;270000;124300
2025;270100;270500;124400
2025;270600;271000;124500
2025;271100;271500;124600
2025;271600;272000;124700
2025;272100;272500;124800
2025;272600;273000;124900
2025;273100;273400;125000
2025;273500;273900;125100
2025;274000;274400;125200
2025;274500;274900;125300
2025;275000;275400;125400
2025;275500;275900;125500
2025;276000;276400;125600
2025;276500;276900;125700
2025;277000;277400;125800
2025;277500;277900;125900
2025;278000;278300;126000
2025;278400;278800;126100
2025;278900;279300;126200
2025;279400;279800;126300
2025;279900;280300;126400
2025;280400;280800;126500
2025;280900;281300;126600
2025;281400;281800;126700
2025;281900;282300;126800
2025;282400;282800;126900
2025;282900;283200;127000
2025;283300;283700;127100
2025;283800;284200;127200
2025;284300;284700;127300
2025;284800;285200;127400
2025;285300;285700;127500
2025;285800;286200;127600
2025;286300;286700;127700
2025;286800;287200;127800
2025;287300;287700;127900
2025;287800;288100;128000
2025;288200;288600;128100
2025;288700;289100;128200
2025;289200;289600;128300
2025;289700;290100;128400
2025;290200;290600;128500
2025;290700;291100;128600
2025;291200;291600;128700
2025;291700;292100;128800
2025;292200;292600;128900
2025;292700;293100;129000
2025;293200;293500;129100
2025;293600;294000;129200
2025;294100;294600;129300
2025;294700;295100;129400
2025;295200;295700;129500
2025;295800;296200;129600
2025;296300;296700;129700
2025;296800;297300;129800
2025;297400;297800;129900
2025;297900;298300;130000
2025;298400;298900;130100
2025;299000;299400;130200
2025;299500;300000;130300
2025;300100;300500;130400
2025;300600;301000;130500
2025;301100;301600;130600
2025;301700;302100;130700
2025;302200;302600;130800
2025;302700;303200;130900
2025;303300;303700;131000
2025;303800;304300;131100
2025;304400;304800;131200
2025;304900;305300;131300
2025;305400;305900;131400
2025;306000;306400;131500
2025;306500;306900;131600
2025;307000;307500;131700
2025;307600;308000;131800
2025;308100;308600;131900
2025;308700;309100;132000
2025;309200;309600;132100
2025;309700;310200;132200
2025;310300;310700;132300
2025;310800;311200;132400
2025;311300;311800;132500
2025;311900;312300;132600
2025;312400;312900;132700
2025;313000;313400;132800
2025;313500;313900;132900
2025;314000;314500;133000
2025;314600;315000;133100
2025;315100;315500;133200
2025;315600;316100;133300
2025;316200;316600;133400
2025;316700;317200;133500
2025;317300;317700;133600
2025;317800;318200;133700
2025;318300;318800;133800
2025;318900;319300;133900
2025;319400;319800;134000
2025;319900;320400;134100
2025;320500;320900;134200
2025;321000;321500;134300
2025;321600;322000;134400
2025;322100;322500;134500
2025;322600;323100;134600
2025;323200;323600;134700
2025;323700;324100;134800
2025;324200;324700;134900
2025;324800;325200;135000
2025;325300;325800;135100
2025;325900;326300;135200
2025;326400;326800;135300
2025;326900;327400;135400
2025;327500;327900;135500
2025;328000;328400;135600
2025;328500;329000;135700
2025;329100;329500;135800
2025;329600;330100;135900
2025;330200;330600;136000
2025;330700;331100;136100
2025;331200;331700;136200
2025;331800;332200;136300
2025;332300;332700;136400
2025;332800;333300;136500
2025;333400;333800;136600
2025;333900;334400;136700
2025;334500;334900;136800
2025;335000;335400;136900
2025;335500;336000;137000
2025;336100;336500;137100
2025;336600;337000;137200
2025;337100;337600;137300
2025;337700;338100;137400
2025;338200;338700;137500
2025;338800;339200;137600
2025;339300;339700;137700
2025;339800;340300;137800
2025;340400;340800;137900
2025;340900;341400;138000
2025;341500;341900;138100
2025;342000;342400;138200
2025;342500;343000;138300
2025;343100;343500;138400
2025;343600;344000;138500
2025;344100;344600;138600
2025;344700;345100;138700
2025;345200;345700;138800
2025;345800;346200;138900
2025;346300;346700;139000
2025;346800;347300;139100
2025;347400;347800;139200
2025;347900;348300;139300
2025;348400;348900;139400
2025;349000;349400;139500
2025;349500;350000;139600
2025;350100;350500;139700
2025;350600;351000;139800
2025;351100;351600;139900
2025;351700;352100;140000
2025;352200;352600;140100
2025;352700;353200;140200
2025;353300;353700;140300
2025;353800;354300;140400
2025;354400;354800;140500
2025;354900;355300;140600
2025;355400;355900;140700
2025;356000;356400;140800
2025;356500;356900;140900
2025;357000;357500;141000
2025;357600;358000;141100
2025;358100;358600;141200
2025;358700;359100;141300
2025;359200;359600;141400
2025;359700;360200;141500
2025;360300;360700;141600
2025;360800;361200;141700
2025;361300;361800;141800
2025;361900;362300;141900
2025;362400;362900;142000
2025;363000;363400;142100
2025;363500;363900;142200
2025;364000;364500;142300
2025;364600;365000;142400
2025;365100;365500;142500
2025;365600;366100;142600
2025;366200;366600;142700
2025;366700;367200;142800
2025;367300;367700;142900
2025;367800;368200;143000
2025;368300;368800;143100
2025;368900;369300;143200
2025;369400;369800;143300
2025;369900;370400;143400
2025;370500;370900;143500
2025;371000;371500;143600
2025;371600;372000;143700
2025;372100;372500;143800
2025;372600;373100;143900
2025;373200;373600;144000
2025;373700;374100;144100
2025;374200;374700;144200
2025;374800;375200;144300
2025;375300;375800;144400
2025;375900;376300;144500
2025;376400;376800;144600
2025;376900;377400;144700
2025;377500;377900;144800
2025;378000;378400;144900
2025;378500;379000;145000
2025;379100;379500;145100
2025;379600;380100;145200
2025;380200;380600;145300
2025;380700;381100;145400
2025;381200;381700;145500
2025;381800;382200;145600
2025;382300;382700;145700
2025;382800;383300;145800
2025;383400;383800;145900
2025;383900;384400;146000
2025;384500;384900;146100
2025;385000;385400;146200
2025;385500;386000;146300
2025;386100;386500;146400
2025;386600;387000;146500
2025;387100;387600;146600
2025;387700;388100;146700
2025;388200;388700;146800
2025;388800;389200;146900
2025;389300;389700;147000
2025;389800;390300;147100
2025;390400;390800;147200
2025;390900;391400;147300
2025;391500;391900;147400
2025;392000;392400;147500
2025;392500;393000;147600
2025;393100;393500;147700
2025;393600;394000;147800
2025;394100;394600;147900
2025;394700;395100;148000
2025;395200;395700;148100
2025;395800;396200;148200
2025;396300;396700;148300
2025;396800;397300;148400
2025;397400;397800;148500
2025;397900;398300;148600
2025;398400;398900;148700
2025;399000;399400;148800
2025;399500;400000;148900
2025;400100;400500;149000
2025;400600;401000;149100
2025;401100;401600;149200
2025;401700;402100;149300
2025;402200;402600;149400
2025;402700;403200;149500
2025;403300;403700;149600
2025;403800;404300;149700
2025;404400;404800;149800
2025;404900;405300;149900
2025;405400;405900;150000
2025;406000;406400;150100
2025;406500;406900;150200
2025;407000;407500;150300
2025;407600;408000;150400
2025;408100;408600;150500
2025;408700;409100;150600
2025;409200;409600;150700
2025;409700;410200;150800
2025;410300;410700;150900
2025;410800;411200;151000
2025;411300;411800;151100
2025;411900;412300;151200
2025;412400;412900;151300
2025;413000;413400;151400
2025;413500;413900;151500
2025;414000;414500;151600
2025;414600;415000;151700
2025;415100;415500;151800
2025;415600;416100;151900
2025;416200;416600;152000
2025;416700;417200;152100
2025;417300;417700;152200
2025;417800;418200;152300
2025;418300;418800;152400
2025;418900;419300;152500
2025;419400;419800;152600
2025;419900;420400;152700
2025;420500;420900;152800
2025;421000;421500;152900
2025;421600;422000;153000
2025;422100;422500;153100
2025;422600;423100;153200
2025;423200;423600;153300
2025;423700;424100;153400
2025;424200;424700;153500
2025;424800;425200;153600
2025;425300;425800;153700
2025;425900;426300;153800
2025;426400;426800;153900
2025;426900;427400;154000
2025;427500;427900;154100
2025;428000;428400;154200
2025;428500;429000;154300
2025;429100;429500;154400
2025;429600;430100;154500
2025;430200;430600;154600
2025;430700;431100;154700
2025;431200;431700;154800
2025;431800;432200;154900
2025;432300;432700;155000
2025;432800;433300;155100
2025;433400;433800;155200
2025;433900;434400;155300
2025;434500;434900;155400
2025;435000;435400;155500
2025;435500;436000;155600
2025;436100;436500;155700
2025;436600;437000;155800
2025;437100;437600;155900
2025;437700;438100;156000
2025;438200;438700;156100
2025;438800;439200;156200
2025;439300;439700;156300
2025;439800;440300;156400
2025;440400;440800;156500
2025;440900;441400;156600
2025;441500;441900;156700
2025;442000;442400;156800
2025;442500;443000;156900
2025;443100;443500;157000
2025;443600;444000;157100
2025;444100;444600;157200
2025;444700;445100;157300
2025;445200;445700;157400
2025;445800;446200;157500
2025;446300;446700;157600
2025;446800;447300;157700
2025;447400;447800;157800
2025;447900;448300;157900
2025;448400;448900;158000
2025;449000;449400;158100
2025;449500;450000;158200
2025;450100;450500;158300
2025;450600;451000;158400
2025;451100;451600;158500
2025;451700;452100;158600
2025;452200;452600;158700
