År;ink from;ink tom;gr avdrag
2025;0;24800;FastInk
2025;24900;58300;24900
2025;58400;58800;25000
2025;58900;59300;25100
2025;59400;59800;25200
2025;59900;60300;25300
2025;60400;60800;25400
2025;60900;61300;25500
2025;61400;61800;25600
2025;61900;62300;25700
2025;62400;62800;25800
2025;62900;63300;25900
2025;63400;63800;26000
2025;63900;64300;26100
2025;64400;64800;26200
2025;64900;65300;26300
2025;65400;65800;26400
2025;65900;66300;26500
2025;66400;66800;26600
2025;66900;67300;26700
2025;67400;67800;26800
2025;67900;68300;26900
2025;68400;68800;27000
2025;68900;69300;27100
2025;69400;69800;27200
2025;69900;70300;27300
2025;70400;70800;27400
2025;70900;71300;27500
2025;71400;71800;27600
2025;71900;72300;27700
2025;72400;72800;27800
2025;72900;73300;27900
2025;73400;73800;28000
2025;73900;74300;28100
2025;74400;74800;28200
2025;74900;75300;28300
2025;75400;75800;28400
2025;75900;76300;28500
2025;76400;76800;28600
2025;76900;77300;28700
2025;77400;77800;28800
2025;77900;78300;28900
2025;78400;78800;29000
2025;78900;79300;29100
2025;79400;79800;29200
2025;79900;80300;29300
2025;80400;80800;29400
2025;80900;81300;29500
2025;81400;81800;29600
2025;81900;82300;29700
2025;82400;82800;29800
2025;82900;83300;29900
2025;83400;83800;30000
2025;83900;84300;30100
2025;84400;84800;30200
2025;84900;85300;30300
2025;85400;85800;30400
2025;85900;86300;30500
2025;86400;86800;30600
2025;86900;87300;30700
2025;87400;87800;30800
2025;87900;88300;30900
2025;88400;88800;31000
2025;88900;89300;31100
2025;89400;89800;31200
2025;89900;90300;31300
2025;90400;90800;31400
2025;90900;91300;31500
2025;91400;91800;31600
2025;91900;92300;31700
2025;92400;92800;31800
2025;92900;93300;31900
2025;93400;93800;32000
2025;93900;94300;32100
2025;94400;94800;32200
2025;94900;95300;32300
2025;95400;95800;32400
2025;95900;96300;32500
2025;96400;96800;32600
2025;96900;97300;32700
2025;97400;97800;32800
2025;97900;98300;32900
2025;98400;98800;33000
2025;98900;99300;33100
2025;99400;99800;33200
2025;99900;100300;33300
2025;100400;100800;33400
2025;100900;101300;33500
2025;101400;101800;33600
2025;101900;102300;33700
2025;102400;102800;33800
2025;102900;103300;33900
2025;103400;103800;34000
2025;103900;104300;34100
